Timestamp,ID number,Dollar value to question #1,Gender,Education,Years of working experience,Dollar value to question #2
3/26/2018 21:36:09,1231,1231,Female,College,Less than 2,231
3/27/2018 7:54:15,997,400,Female,Masters,More than 5,4
3/27/2018 7:54:23,30,500,Female,Masters,More than 5,5
3/27/2018 7:54:31,987,450,Female,Doctorate,More than 5,4
3/27/2018 7:54:39,17,500,Female,Masters,More than 5,5
3/27/2018 7:54:46,970,400,Male,Doctorate,More than 5,5
3/27/2018 7:55:07,40,400,Male,Doctorate,More than 5,4
3/27/2018 7:55:15,42,400,Male,Masters,Between 2 and 5,3
3/27/2018 7:55:19,971,500,Male,Doctorate,More than 5,500
3/27/2018 7:55:26,22,600,Male,Doctorate,More than 5,6
3/27/2018 7:55:26,966,500,Male,Doctorate,More than 5,5
3/27/2018 7:55:36,989,1,Female,Doctorate,More than 5,1
3/27/2018 7:55:41,963,500,Male,College,More than 5,5
3/27/2018 7:55:47,994,100,Female,Doctorate,More than 5,3
3/27/2018 7:55:54,24,500,Female,Doctorate,More than 5,5
3/27/2018 7:56:01,39,350,Male,Masters,Between 2 and 5,3
3/27/2018 7:56:22,962,500,Female,Masters,More than 5,5
3/27/2018 7:56:32,999,500,Female,Masters,Less than 2,5
3/27/2018 7:56:32,996,500,Female,Masters,Between 2 and 5,5
3/27/2018 7:57:04,973,400,Female,Masters,More than 5,4
3/27/2018 7:57:51,993,550,Female,Masters,Between 2 and 5,5
3/27/2018 8:17:30,10,499,Female,College,Between 2 and 5,4
3/27/2018 12:42:17,17,500,Female,Masters,More than 5,5
